document_id,fuente,titulo_oficial,archivo_referencia,emisor_id,emisor_nombre,tipo_documento,dominios_documentales,jurisdiccion,fecha_documento,chunks,paginas,evidencia_extracto,evidencia_por_dominio,url_origen,estado_inclusion,decision_humana,emisor_id_corregido,emisor_nombre_corregido,tipo_documento_corregido,dominios_documentales_corregidos,observaciones
DOC-0011,Ley_23349_IVA_TO,Ley 23.349 — Impuesto al Valor Agregado,Ley_23349_IVA_TO.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,texto_ordenado,impositivo,argentina_nacional,1986-08-07,111,1–23,"[158985ea5e52… p.1] Ver Antecedentes Normativos — «VISTO la Ley de Impuesto al Valor Agregado, texto sustituido por la Ley N° 23.349 y sus modificaciones, y CONSIDERANDO: Que resulta necesario aprobar el texto ordenado de las normas aludidas, a fin de facilitar su consulta y evitar contusiones en su aplicación. Que la presente medida se dicta en ejercicio de las atribu…»",impositivo: 1 chunk(s); p.ej. p.8 [75673d37907b…],,pendiente_revision,,,,,,
DOC-0012,Ley_23966_Combustibles_Liquidos_Gas,"Ley 23.966 — Impuestos sobre combustibles líquidos, gas natural y bienes personales",Ley_23966_Combustibles_Liquidos_Gas.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,ley,impositivo,argentina_nacional,1991-08-01,91,1–36,[78830218ebeb… p.1] «FINANCIAMIENTO DEL REGIMEN NACIONAL DE PREVISION SOCIAL. AFECTACION DEL I.V.A.. IMPUESTO SOBRE COMBUSTIBLES LIQUIDOS Y GAS NATURAL. MODIFICACIONES A LA LEY DEL FONDO NACIONAL DE LA VIVIENDA. DEROGACION DE REGIMENES DE JUBILACIONES ESPECIALES. IMPUESTO SOBRE LOS BIENES PERSONALES NO INCORPORADO AL PROCESO ECONOMICO. DES…»,impositivo: sin coincidencia literal en el documento,,pendiente_revision,,,,,,
DOC-0013,Ley_24065_Energia_Electrica_TO,Ley 24.065 — Régimen de la Energía Eléctrica,Ley_24065_Energia_Electrica_TO.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,texto_ordenado,legal|regulatorio,argentina_nacional,1991-12-19,38,1–23,"[43869a582765… p.1] REGIMEN DE LA ENERGIA ELECTRICA — «Generación , transporte y distribución de electricidad . Objeto . Política general y agentes . Transporte y distribución . Generadores , transportistas , distribuidores y grandes usuarios . Disposiciones comunes a transportistas y distribuidores . Provisión de servicios . Limitaciones . Exportación e importación . Desp…»","legal: 4 chunk(s); p.ej. p.1 [43869a582765…]
regulatorio: 1 chunk(s); p.ej. p.20 [f7c2c295d134…]",,pendiente_revision,,,,,,
DOC-0014,Ley_24076_Gas_Natural_TO,Ley 24.076 — Marco Regulatorio del Gas Natural,Ley_24076_Gas_Natural_TO.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,texto_ordenado,legal|regulatorio,argentina_nacional,1992-05-20,31,1–19,[167fb0e8f1ba… p.1] GAS NATURAL — «MARCO REGULATORIO -PRIVATIZACION GAS DEL ESTADO Sanción: 20 - 05 - 1992 Publicada en el Boletín Oficial: 12 - 06 - 1992 (/normativa/buscar - boletin?s=1&fecha _ publicacion=12-06-1992)27407 (/normativ acion=12-06-1992)27407 (/normativa/buscar - boletin?s=1&numero _ boletin Número: Página: 30 Texto actualizado de la nor…»,"legal: 4 chunk(s); p.ej. p.5 [5fc10e0ff7a7…]
regulatorio: 4 chunk(s); p.ej. p.1 [167fb0e8f1ba…]",,pendiente_revision,,,,,,
DOC-0015,MSU_ON_ClaseIV,Suplemento de prospecto — Obligaciones Negociables Clase IV,MSU_ON_ClaseIV.pdf,EMI-0007,MSU Energy S.A.,prospecto_financiero,financiero|legal|impositivo,no_aplica,2022-05-11,147,1–42,"[1146cc65041a… p.1] MSU ENERGY S.A. Emisora — «Las Obligaciones Negociables serán obligaciones negociables simples, no convertibles en acciones y no subordinadas, emitidas y colocadas conforme a la Ley de Obligaciones Negociables Nº 23.576 y sus modificatorias y complementarias (la ""Ley de Obligaciones Negociables""), y las normas de la CNV (T.O. Resolución General …»","financiero: 26 chunk(s); p.ej. p.4 [a20de9a7dfb3…]
legal: 15 chunk(s); p.ej. p.4 [a20de9a7dfb3…]
impositivo: 10 chunk(s); p.ej. p.4 [a20de9a7dfb3…]",,pendiente_revision,,,,,,
DOC-0016,Pampa_EEFF_Consolidado_1Q2026,Estados financieros consolidados condensados intermedios al 31 de marzo de 2026,Pampa_EEFF_Consolidado_1Q2026.pdf,EMI-0008,Pampa Energía S.A.,estado_contable,contable|regulatorio,no_aplica,2026-03-31,217,2–66,[4a57869762ce… p.2] COMITÉ DE AUDITORÍA — «Miembros Titulares Miembros Suplentes Noemí Cohn Martín Fernández Dussaut Germán Wetzler Malbrán Gabriel Szpigiel Carolina Zang Julia Sofía Pomares Clarisa Lifsic Clarisa Vittone Lorena Rappaport Ricardo Alejandro Torres Damián Miguel Mindlin Carolina Zang Gabriel Szpigiel Daniela Rivarola Meilan Julia Sofía Pomares Ni…»,"contable: 10 chunk(s); p.ej. p.19 [707a123a3695…]
regulatorio: 1 chunk(s); p.ej. p.15 [d1ec4336ab01…]",,pendiente_revision,,,,,,
DOC-0017,Res_SE_137_1992,Resolución SE 137/1992 — Reglamentaciones del Sistema de Transporte de Energía Eléctrica,Res_SE_137_1992.pdf,EMI-0009,Secretaría de Energía,resolucion,legal|regulatorio|tecnico|operativo,argentina_nacional,1992-11-30,11,1–4,"[43a424e38499… p.1] Resoluci�n 137/92 — «Que la SECRETARIA DE ENERGIA se encuentra facultada para el dictado del presente acto en virtud de lo dispuesto por el Art�culo 36 de la Ley N� 24.065 y por el Decreto N� 1594 del 31 de agosto de 1992. Por ello, EL SECRETARIO DE ENERGIA RESUELVE: CAPITULO I…»","legal: sin coincidencia literal en el documento
regulatorio: sin coincidencia literal en el documento
tecnico: sin coincidencia literal en el documento
operativo: sin coincidencia literal en el documento",,pendiente_revision,,,,,,
DOC-0018,Res_SE_61_1992_Los_Procedimientos,"Los Procedimientos para la Programación de la Operación, el Despacho de Cargas y el Cálculo de Precios",Res_SE_61_1992_Los_Procedimientos.pdf,EMI-0009,Secretaría de Energía,procedimiento_regulatorio,legal|regulatorio|tecnico|operativo,argentina_nacional,1999-10-21,656,1–386,"[e2cac1714217… p.1] ENERGIA ELECTRICA — «Resolución 545/99 Modifícanse los Procedimientos para la Programación de la Operación, el Despacho de Cargas y el Cálculo de Precios aprobados por Resolución Nº 61/92, exSEE y sus normas modificatorias y complementarias. Derógase la Resolución Nº 404/99. Bs. As., 21/10/99 VISTO el Expediente Nº 750-004334/99 del Regist…»","legal: 1 chunk(s); p.ej. p.1 [e2cac1714217…]
regulatorio: 1 chunk(s); p.ej. p.1 [e2cac1714217…]
tecnico: 21 chunk(s); p.ej. p.8 [9fcf06801e3a…]
operativo: 11 chunk(s); p.ej. p.5 [a9aaea706aa9…]",,pendiente_revision,,,,,,
DOC-0019,RG_AFIP_830,Resolución General AFIP 830/2000 — Régimen de retención del Impuesto a las Ganancias,RG_AFIP_830.pdf,EMI-0010,Administración Federal de Ingresos Públicos,resolucion_general,impositivo,argentina_nacional,2000-04-26,129,1–36,"[6e53ccf1bb8f… p.1] Resolución General 830/2000 — «Impuesto a las Ganancias. Régimen de retención para determinadas ganancias. Régimen excepcional de ingreso. Resolución General Nº 2784 (DGI), sus modificatorias y complementarias. Resolución General Nº 2793 (DGI), sus modificatorias y complementaria. Su sustitución. Bs. As., 26 de abril de 2000…»",impositivo: 2 chunk(s); p.ej. p.3 [a1405fcbdd28…],,pendiente_revision,,,,,,
DOC-0020,TGS_EEFF_2024_4T,Memoria y estados financieros del ejercicio terminado el 31 de diciembre de 2024,TGS_EEFF_2024_4T.pdf,EMI-0011,Transportadora de Gas del Sur S.A.,memoria_anual,ambiental|contable|corporativo|laboral|operativo|regulatorio,no_aplica,2024-12-31,812,2–236,[9f1e1d879475… p.2] 02 | ESTADOS FINANCIEROS CONSOLIDADOS AL 31 DE DICIEMBRE DE 2024 — «Estado de resultados integral consolidado Estado de situación financiera consolidado Estado de cambios en el patrimonio consolidado Estado de flujo de efectivo consolidado Notas a los estados financieros consolidados…»,"ambiental: 13 chunk(s); p.ej. p.52 [0260fb7d4f9e…]
contable: 40 chunk(s); p.ej. p.77 [339cb0cee8cb…]
corporativo: 4 chunk(s); p.ej. p.6 [f3163764a67b…]
laboral: 12 chunk(s); p.ej. p.12 [92e5a9c841a6…]
operativo: 24 chunk(s); p.ej. p.8 [f73b849f9b2e…]
regulatorio: 16 chunk(s); p.ej. p.8 [73fc46418bb4…]",,pendiente_revision,,,,,,
DOC-0021,TGS_EEFF_2025_09,Estados financieros al 30 de septiembre de 2025 y 2024,TGS_EEFF_2025_09.pdf,EMI-0011,Transportadora de Gas del Sur S.A.,estado_contable,contable|regulatorio,no_aplica,2025-09-30,416,2–84,[329b75e993d2… p.2] 05 | ESTADOS FINANCIEROS SEPARADOS AL 30 DE SEPTIEMBRE DE 2025 — «Estado de Resultados Integrales Separado Condensado Intermedio Estado de Situación Financiera Separado condensado intermedio Estado de Cambios en el Patrimonio Separado Condensado Intermedio Estado de Flujos de Efectivo Separado Condensado Intermedio Notas a los Estados Financieros Separados Condensados Intermedios…»,"contable: 27 chunk(s); p.ej. p.3 [f8c303394b65…]
regulatorio: 6 chunk(s); p.ej. p.20 [0b8132d52777…]",,pendiente_revision,,,,,,
DOC-0022,TR-consolidado-03-2026_VF-Clean,Estados financieros consolidados condensados intermedios al 31 de marzo de 2026,TR-consolidado-03-2026_VF-Clean.pdf,EMI-0003,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.,estado_contable,contable|regulatorio,no_aplica,2026-03-31,141,1–37,[7279fa8e0cd8… p.1] ESTADOS FINANCIEROS CONSOLIDADOS CONDENSADOS INTERMEDIOS — «Al 31 de marzo de 2026 y por los períodos de tres meses finalizados el 31 de marzo de 2026 y 2025. INFORMACIÓN ESPECIAL REQUERIDA POR EL REGLAMENTO DEL LISTADO DE BOLSAS Y MERCADOS ARGENTINOS S.A. Y LAS NORMAS DE LA COMISIÓN NACIONAL DE VALORES…»,"contable: 9 chunk(s); p.ej. p.15 [e664ff68901d…]
regulatorio: 1 chunk(s); p.ej. p.32 [a8e6b0be9199…]",,pendiente_revision,,,,,,
DOC-0023,Transener-Company-Presentation-April-2026,Company Presentation — April 2026,Transener-Company-Presentation-April-2026.pdf,EMI-0003,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.,presentacion_corporativa,financiero|corporativo|regulatorio|tecnico|operativo,no_aplica,2026-04,20,2–22,"[8736d5fdeb0f… p.2] Legal Disclaimer — «Securities may not be offered or sold within the United States or to U . S . persons, except to qualified institutional buyers (as defined in Rule 144A under the Securities Act) in reliance on the exemption from registration provided by Rule 144A under the Securities Act and to certain non -U . S . persons in offshore …»","financiero: sin coincidencia literal en el documento
corporativo: sin coincidencia literal en el documento
regulatorio: sin coincidencia literal en el documento
tecnico: sin coincidencia literal en el documento
operativo: sin coincidencia literal en el documento",,pendiente_revision,,,,,,
DOC-0024,Transener_Calificacion_FIX,Informe de calificación — Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.,Transener_Calificacion_FIX.pdf,EMI-0012,FIX SCR S.A.,informe_calificacion,financiero|regulatorio|corporativo,no_aplica,2025-12-18,44,1–14,"[058f8f478e47… p.1] Factores relevantes de la calificación — «Suba de calificación: FIX SCR (afiliada de Fitch Ratings) – en adelante FIX – subió a categoría AA(arg) desde A+(arg) a la calificación de Emisor de Largo plazo de Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A. (Transener) , con Perspectiva Estable . FIX anticipa una mejora en el riesgo regu…»","financiero: 16 chunk(s); p.ej. p.1 [115dedd91bbd…]
regulatorio: 6 chunk(s); p.ej. p.1 [058f8f478e47…]
corporativo: 1 chunk(s); p.ej. p.8 [963e32f5b835…]",,pendiente_revision,,,,,,
